560,1244.337036,-1815.545043,13.232999,5.679999,1,0 ; Sultan at backside of Bank - Market
411,1255.744995,-1834.260009,13.116999,179.055999,0,0 ; Infernus at backside of Bank - Market
556,1808.948974,-1864.488037,13.310000,180.729995,0,0 ; Monster Truck near mech spawn - El Corona
599,1933.714965,-2241.163085,13.920999,174.606002,0,1 ; Police Rancher - LSA Entrance
520,1921.881958,-2242.791015,13.920999,174.244995,0,1 ; Hydra - LSA Entrance
523,1909.824951,-2243.620117,13.920999,184.022994,0,1 ; Cop Bike - LSA Entrance
487,1737.998046,-2435.312988,13.281000,8.810999,2,5 ; Maverick - LSA
487,1641.552978,-2423.045898,13.281000,356.313995,53,32 ; Maverick #02 - LSA
487,1565.140991,-2418.268066,13.281000,351.816986,5,91 ; Maverick #03 - LSA
425,1489.308959,-2411.552001,13.281000,177.651992,0,1 ; Hunter - LSA
411,1110.029052,-1527.312255,15.525202,339.015625,0,1 ; Infernus near gates - Market
